id,name,url,description,created_at,updated_at,subscribable_type,subscribable_id,status
49,Reuters Video: Small Business,http://feeds.reuters.com/reuters/USVideoSmallBusiness,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:53.766621,2017-04-06 08:46:31.511962,,,Updated
50,Reuters Video: Technology,http://feeds.reuters.com/reuters/USVideoTechnology,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:54.225667,2017-04-06 08:46:32.045016,,,Updated
51,Reuters Video: Top News,http://feeds.reuters.com/reuters/USVideoTopNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:54.734718,2017-04-06 08:46:32.610072,,,Updated
53,Financial Times Search Atom Syndication,http://search.ft.com/openSearch/atom/?searchTerms=bunge&sortBy=date,You searched for bunge,2017-03-07 02:20:55.620806,2017-04-06 08:46:33.703181,,,Updated
38,Reuters Video: Environment,http://feeds.reuters.com/reuters/USVideoEnvironment,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:48.821126,2017-04-06 08:47:30.438686,,,Updated
45,Reuters Video: Oddly Enough,http://feeds.reuters.com/reuters/USVideoOddlyEnough,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:51.998444,2017-04-06 08:47:31.201384,,,Error Updating
39,Reuters Video: Felix Salmon,http://feeds.reuters.com/reuters/USVideoFelixSalmon,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:49.25717,2017-04-06 08:46:25.811392,,,Updated
2,Welcome to CFTC's Comments Online RSS feed,https://comments.cftc.gov/handlers/RSSHandler.ashx?type=Releases&category=Proposed%20Rule,This feed provides a friendly RSS for the CFTC's Comments Online system.,2017-03-07 02:20:31.963441,2017-04-06 08:46:05.468358,Regulator,574,Updated
8,Federal Register Documents about Commodity futures,https://www.federalregister.gov/api/v1/documents.rss?conditions%5Bconditions%5D%5Btopics%5D=commodity-futures&conditions%5Border%5D=newest,"The documents in this feed originate from FederalRegister.gov which displays an unofficial web version of the daily Federal Register. The official electronic version in PDF format is also available as a link from the FederalRegister.gov website. For more information, please see https://www.federalregister.gov/reader-aids/policy/legal-status.",2017-03-07 02:20:34.672712,2017-04-06 08:46:08.973709,,,Updated
9,Federal Register Documents whose Associated Unified Agenda Deemed Significant Under EO 12866 and about Commodity futures,https://www.federalregister.gov/api/v1/documents.rss?conditions%5Bsignificant%5D=1&conditions%5Btopics%5D=commodity-futures,"The documents in this feed originate from FederalRegister.gov which displays an unofficial web version of the daily Federal Register. The official electronic version in PDF format is also available as a link from the FederalRegister.gov website. For more information, please see https://www.federalregister.gov/reader-aids/policy/legal-status.",2017-03-07 02:20:35.130758,2017-04-06 08:46:09.533765,,,Updated
35,Reuters Video: Business Travel,http://feeds.reuters.com/reuters/USVideoBusinessTravel,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:47.489993,2017-04-06 08:46:23.625174,,,Updated
36,Reuters Video: Chrystia Freeland,http://feeds.reuters.com/reuters/USVideoChrystiaFreeland,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:47.948039,2017-04-06 08:46:24.163228,,,Updated
40,Reuters Video: GigaOM,http://feeds.reuters.com/reuters/USVideoGigaom,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:49.699214,2017-04-06 08:46:26.365448,,,Updated
42,Reuters Video: Most Popular,http://feeds.reuters.com/reuters/USVideoMostWatched,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:50.662311,2017-04-06 08:46:27.474559,,,Updated
43,Reuters Video: Latest Videos US,http://feeds.reuters.com/reuters/USVideoLatest,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:51.104355,2017-04-06 08:46:28.044616,,,Updated
46,Reuters Video: Personal Finance,http://feeds.reuters.com/reuters/USVideoPersonalFinance,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:52.434488,2017-04-06 08:46:29.839795,,,Updated
47,Reuters Video: Politics,http://feeds.reuters.com/reuters/USVideoPolitics,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:52.866531,2017-04-06 08:46:30.373849,,,Updated
11,Federal Register Documents whose Associated Unified Agenda Deemed Significant Under EO 12866 and about Commodity Futures Trading Commission,https://www.federalregister.gov/api/v1/documents.rss?conditions%5Bsignificant%5D=1&conditions%5Btopics%5D=commodity-futures-trading-commission,"The documents in this feed originate from FederalRegister.gov which displays an unofficial web version of the daily Federal Register. The official electronic version in PDF format is also available as a link from the FederalRegister.gov website. For more information, please see https://www.federalregister.gov/reader-aids/policy/legal-status.",2017-03-07 02:20:36.05085,2017-04-06 08:46:10.602872,,,Updated
34,Reuters Video: Business,http://feeds.reuters.com/reuters/USVideoBusiness,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:47.035948,2017-04-06 08:46:23.060117,,,Updated
