id,training_session_id,user_id,created_at,updated_at
909,90,182,00:48.9,00:48.9
910,90,547,00:49.2,00:49.2
911,90,214,00:49.4,00:49.4
912,90,313,00:49.7,00:49.7
913,90,453,00:49.9,00:49.9
914,90,645,00:50.2,00:50.2
915,90,576,00:50.4,00:50.4
916,88,354,00:50.7,00:50.7
917,50,46,00:50.9,00:50.9
918,50,23,00:51.2,00:51.2
919,50,43,00:51.4,00:51.4
920,50,417,00:51.7,00:51.7
921,50,591,00:51.9,00:51.9
922,50,280,00:52.4,00:52.4
923,50,633,00:52.8,00:52.8
924,91,434,00:53.0,00:53.0
925,91,784,00:53.3,00:53.3
926,91,11809,00:53.6,00:53.6
927,91,115,00:53.9,00:53.9
928,91,670,00:54.1,00:54.1
929,91,644,00:54.3,00:54.3
930,91,416,00:54.6,00:54.6
931,91,15,00:54.9,00:54.9
932,91,552,00:55.1,00:55.1
933,91,688,00:55.4,00:55.4
934,48,417,00:55.6,00:55.6
935,48,16,00:55.8,00:55.8
936,48,242,00:56.1,00:56.1
937,48,10333,00:56.3,00:56.3
938,48,600,00:56.6,00:56.6
939,48,640,00:56.8,00:56.8
940,48,231,00:57.1,00:57.1
941,48,657,00:57.3,00:57.3
942,48,783,00:57.6,00:57.6
943,48,382,00:57.8,00:57.8
944,48,25,00:58.0,00:58.0
945,48,277,00:58.3,00:58.3
946,48,234,00:58.5,00:58.5
947,92,17,00:58.8,00:58.8
948,92,288,00:59.0,00:59.0
949,92,670,00:59.3,00:59.3
950,92,191,00:59.6,00:59.6
951,92,240,00:59.8,00:59.8
952,92,438,01:00.1,01:00.1
953,92,83,01:00.3,01:00.3
954,92,10959,01:00.6,01:00.6
955,92,469,01:00.8,01:00.8
956,92,354,01:01.1,01:01.1
957,92,646,01:01.3,01:01.3
958,92,169,01:01.6,01:01.6
959,92,447,01:01.8,01:01.8
960,92,54,01:02.1,01:02.1
961,93,88,01:02.3,01:02.3
962,93,94,01:02.6,01:02.6
963,93,790,01:02.8,01:02.8
964,93,591,01:03.1,01:03.1
965,93,371,01:03.3,01:03.3
966,93,67,01:03.6,01:03.6
967,93,417,01:03.9,01:03.9
968,93,280,01:04.1,01:04.1
969,94,157,01:04.4,01:04.4
970,94,173,01:04.6,01:04.6
971,94,608,01:04.8,01:04.8
972,94,172,01:05.1,01:05.1
973,94,42,01:05.3,01:05.3
974,94,88,01:05.6,01:05.6
975,18,460,01:05.8,01:05.8
976,95,8979,01:06.1,01:06.1
977,95,3426,01:06.3,01:06.3
978,95,2459,01:06.6,01:06.6
979,95,10246,01:06.8,01:06.8
980,95,256,01:07.1,01:07.1
981,95,11605,01:07.3,01:07.3
982,95,243,01:07.6,01:07.6
983,52,782,01:07.8,01:07.8
984,52,93,01:08.0,01:08.0
985,53,755,01:08.3,01:08.3
986,53,20,01:08.5,01:08.5
987,53,96,01:08.8,01:08.8
988,53,593,01:09.0,01:09.0
989,53,642,01:09.3,01:09.3
990,53,468,01:09.5,01:09.5
991,53,386,01:09.7,01:09.7
992,53,90,01:10.1,01:10.1
993,53,12507,01:10.5,01:10.5
994,53,18,01:10.7,01:10.7
995,53,12812,01:11.0,01:11.0
996,53,55,01:11.2,01:11.2
997,54,12,01:11.4,01:11.4
998,54,680,01:11.7,01:11.7
999,55,502,01:11.9,01:11.9
1000,55,283,01:12.2,01:12.2
1001,55,52,01:12.4,01:12.4
1002,55,752,01:12.7,01:12.7
1003,55,49,01:12.9,01:12.9
1004,55,377,01:13.1,01:13.1
1005,55,565,01:13.4,01:13.4
1006,56,506,01:13.6,01:13.6
1007,56,482,01:14.0,01:14.0
1008,56,669,01:14.3,01:14.3
1009,56,300,01:14.5,01:14.5
1010,96,782,01:14.7,01:14.7
1011,96,2470,01:15.0,01:15.0
1012,96,358,01:15.2,01:15.2
1013,96,642,01:15.5,01:15.5
1014,96,37,01:15.7,01:15.7
1015,96,55,01:16.0,01:16.0
1016,96,432,01:16.2,01:16.2
1017,96,7256,01:16.5,01:16.5
1018,96,672,01:16.7,01:16.7
1019,96,593,01:16.9,01:16.9
1020,96,753,01:17.2,01:17.2
1021,96,327,01:17.4,01:17.4
1022,96,386,01:17.7,01:17.7
1023,97,316,01:17.9,01:17.9
1024,97,666,01:18.2,01:18.2
1025,97,52,01:18.4,01:18.4
1026,97,387,01:18.7,01:18.7
1027,98,5359,01:18.9,01:18.9
1028,98,3685,01:19.2,01:19.2
1029,98,12420,01:19.4,01:19.4
1030,98,508,01:19.6,01:19.6
1031,98,13429,01:19.9,01:19.9
1032,98,6513,01:20.1,01:20.1
1033,98,515,01:20.4,01:20.4
1034,98,738,01:20.6,01:20.6
1035,99,9658,01:20.9,01:20.9
1036,99,10421,01:21.1,01:21.1
1037,99,7246,01:21.3,01:21.3
1038,99,908,01:21.6,01:21.6
1039,99,1319,01:21.8,01:21.8
1040,99,8785,01:22.1,01:22.1
1041,99,4354,01:22.3,01:22.3
1042,99,13075,01:22.6,01:22.6
1043,99,2795,01:22.8,01:22.8
1044,99,6066,01:23.1,01:23.1
1045,99,1111,01:23.5,01:23.5
1046,99,5381,01:23.7,01:23.7
1047,100,8403,01:23.9,01:23.9
1048,100,813,01:24.2,01:24.2
1049,100,803,01:24.4,01:24.4
1050,100,6020,01:24.7,01:24.7
1051,100,8308,01:25.0,01:25.0
1052,100,8324,01:25.2,01:25.2
1053,100,7897,01:25.5,01:25.5
1054,101,794,01:25.7,01:25.7
1055,101,8741,01:26.0,01:26.0
1056,101,796,01:26.2,01:26.2
1057,101,583,01:26.5,01:26.5
1058,101,799,01:26.7,01:26.7
1059,101,761,01:27.0,01:27.0
1060,101,12151,01:27.2,01:27.2
1061,101,3584,01:27.5,01:27.5
1062,101,2827,01:27.8,01:27.8
1063,101,795,01:28.0,01:28.0
1064,101,250,01:28.2,01:28.2
1065,101,12846,01:28.5,01:28.5
1066,101,811,01:28.8,01:28.8
1067,101,9043,01:29.0,01:29.0
1068,102,13781,01:29.3,01:29.3
1069,102,294,01:29.5,01:29.5
1070,102,589,01:29.7,01:29.7
1071,102,227,01:29.9,01:29.9
1072,102,190,01:30.2,01:30.2
1073,102,398,01:30.4,01:30.4
1074,103,5377,01:30.7,01:30.7
1075,103,1860,01:30.9,01:30.9
1076,103,709,01:31.2,01:31.2
1077,104,675,01:31.4,01:31.4
1078,104,113,01:31.7,01:31.7
1079,104,801,01:31.9,01:31.9
1080,104,85,01:32.2,01:32.2
1081,104,481,01:32.4,01:32.4
1082,104,40,01:32.6,01:32.6
1083,104,271,01:32.9,01:32.9
1084,105,4593,01:33.1,01:33.1
1085,105,808,01:33.4,01:33.4
1086,105,703,01:33.6,01:33.6
1087,105,3518,01:33.9,01:33.9
1088,105,4981,01:34.1,01:34.1
1089,105,7545,01:34.4,01:34.4
1090,105,13021,01:34.7,01:34.7
1091,105,810,01:34.9,01:34.9
1092,105,807,01:35.2,01:35.2
1093,105,116,01:35.4,01:35.4
1094,105,5852,01:35.6,01:35.6
1095,106,793,01:35.9,01:35.9
1096,106,4081,01:36.1,01:36.1
1097,106,1932,01:36.4,01:36.4
1098,106,23,01:36.6,01:36.6
1099,106,797,01:36.9,01:36.9
1100,106,7465,01:37.1,01:37.1
1101,106,5573,01:37.4,01:37.4
1102,106,798,01:37.6,01:37.6
1103,107,791,01:37.9,01:37.9
1104,107,461,01:38.1,01:38.1
1105,107,663,01:38.3,01:38.3
1106,107,614,01:38.6,01:38.6
1107,107,649,01:38.8,01:38.8
1108,107,2214,01:39.1,01:39.1
1109,107,717,01:39.3,01:39.3
1110,107,122,01:39.6,01:39.6
1111,107,81,01:39.8,01:39.8
1112,107,84,01:40.0,01:40.0
1113,107,102,01:40.3,01:40.3
