id,company_number,name,method_of_combination,reported_as,functional_currency,hfm_entity_code,hfm_tax_entity,hfm_hv_code,created_at,updated_at,clean_name,tax_id,parent_id
315,41.49,Climate Change Capital (Hong Kong) Limited,Consolidate,O,100.0,HKD,41021801,CCC_Tax,2017-02-20 17:38:40.596969,2017-02-20 17:38:40.596969,climatechangecapitalhongkonglimited,,
316,11.21,Bunge Master Trust,Consolidate,F,100.0,USD,1121,1121,2017-02-20 17:38:40.928002,2017-02-20 17:38:40.928002,bungemastertrust,,
317,71.02,Bunge Fertilizer Morocco,Consolidate,O,100.0,USD,7102,7102,2017-02-20 17:38:41.259036,2017-02-20 17:38:41.259036,bungefertilizermorocco,,
318,35.03,Bunge Foods Private Limited,Consolidate,O,99.99,INR,3503,"3502_Tax /
3502_Tax_L C",2017-02-20 17:38:41.592069,2017-02-20 17:38:41.592069,bungefoodsprivatelimited,,
319,44.0,N.V.Bunge,Consolidate,O,100.0,EUR,4107,N/A,2017-02-20 17:38:41.923102,2017-02-20 17:38:41.923102,nvbunge,,
320,55.12,LLC Kholmsky KHP,Consolidate,O,99.81,RUB,55122900,55122900,2017-02-20 17:38:42.249135,2017-02-20 17:38:42.249135,llckholmskykhp,,
322,2.01,Bunge Export Sales (Barbados) Corporation,Consolidate,O,100.0,USD,N/A,N/A,2017-02-20 17:38:42.590169,2017-02-20 17:38:42.590169,bungeexportsalesbarbadoscorporation,,
323,22.96,Etti Holdings Ltda.,Consolidate,H,100.0,BRL,N/A,N/A,2017-02-20 17:38:42.918201,2017-02-20 17:38:42.918201,ettiholdingsltda,,
324,45.16,Bunge Canada Cooperatief U.A.,Consolidate,H,100.0,USD,4516,4516,2017-02-20 17:38:43.251235,2017-02-20 17:38:43.251235,bungecanadacooperatiefua,,
325,28.02,Soluciones Internacionales SAS,Consolidate,O,100.0,USD,28011370,28011370,2017-02-20 17:38:43.595269,2017-02-20 17:38:43.595269,solucionesinternacionalessas,,
326,54.09,ZPT Elmilk Sp z o o,Consolidate,O,100.0,PLN,54303202,54303202,2017-02-20 17:38:43.917301,2017-02-20 17:38:43.917301,zptelmilkspzoo,,
