id,policy_id,user_id,created_at,updated_at,task_id
134,1,719,2017-04-17 15:25:35.673603,2017-04-17 15:25:35.673603,13619
141,1,326,2017-04-17 21:36:07.83753,2017-04-17 21:36:07.83753,13793
142,1,419,2017-04-18 04:06:20.699049,2017-04-18 04:06:20.699049,13511
143,1,4081,2017-04-18 07:06:02.26246,2017-04-18 07:06:02.26246,13631
145,1,20637,2017-04-18 08:48:24.616904,2017-04-18 08:48:24.616904,13558
146,1,365,2017-04-18 09:46:38.726068,2017-04-18 09:46:38.726068,13604
147,1,711,2017-04-18 11:50:27.518601,2017-04-18 11:50:27.518601,13803
148,1,113,2017-04-18 12:47:28.99623,2017-04-18 12:47:28.99623,13723
152,1,443,2017-04-18 16:45:41.258257,2017-04-18 16:45:41.258257,13715
153,1,544,2017-04-18 17:36:46.082249,2017-04-18 17:36:46.082249,13563
154,1,790,2017-04-18 17:54:07.197172,2017-04-18 17:54:07.197172,13617
156,1,13557,2017-04-19 14:01:18.323893,2017-04-19 14:01:18.323893,13513
157,1,1285,2017-04-19 15:38:35.634919,2017-04-19 15:38:35.634919,13781
159,1,122,2017-04-19 16:55:39.176888,2017-04-19 16:55:39.176888,13783
160,1,93,2017-04-19 21:41:27.28785,2017-04-19 21:41:27.28785,13818
123,1,752,2017-04-17 13:12:56.455614,2017-04-17 13:12:56.455614,13706
125,1,306,2017-04-17 13:13:02.19857,2017-04-17 13:13:02.19857,13705
126,1,442,2017-04-17 13:35:48.938047,2017-04-17 13:35:48.938047,13684
131,1,12510,2017-04-17 14:37:43.496196,2017-04-17 14:37:43.496196,13606
135,1,772,2017-04-17 15:54:02.573873,2017-04-17 15:54:02.573873,13741
136,1,162,2017-04-17 16:55:36.459381,2017-04-17 16:55:36.459381,13539
137,1,597,2017-04-17 18:35:09.915904,2017-04-17 18:35:09.915904,13649
138,1,357,2017-04-17 18:37:49.816121,2017-04-17 18:37:49.816121,13663
139,1,659,2017-04-17 19:24:26.737098,2017-04-17 19:24:26.737098,13678
140,1,593,2017-04-17 20:28:24.052052,2017-04-17 20:28:24.052052,13630
144,1,17947,2017-04-18 07:47:18.4327,2017-04-18 07:47:18.4327,13778
149,1,727,2017-04-18 14:15:26.888717,2017-04-18 14:15:26.888717,13504
150,1,387,2017-04-18 14:16:50.65827,2017-04-18 14:16:50.65827,13733
151,1,8403,2017-04-18 14:33:44.793902,2017-04-18 14:33:44.793902,13730
155,1,802,2017-04-19 09:24:45.310135,2017-04-19 09:24:45.310135,13506
158,1,526,2017-04-19 16:06:05.079191,2017-04-19 16:06:05.079191,13643
161,1,1278,2017-04-20 10:28:52.454144,2017-04-20 10:28:52.454144,13763
162,1,6311,2017-04-20 14:40:15.474529,2017-04-20 14:40:15.474529,13585
163,1,1828,2017-04-20 19:20:21.456558,2017-04-20 19:20:21.456558,13815
164,1,52,2017-04-24 00:50:38.084684,2017-04-24 00:50:38.084684,13690
165,1,3274,2017-04-24 00:54:18.566415,2017-04-24 00:54:18.566415,13616
166,1,681,2017-04-24 00:59:28.416214,2017-04-24 00:59:28.416214,13501
167,1,132,2017-04-24 01:03:17.57262,2017-04-24 01:03:17.57262,13640
168,1,787,2017-04-24 01:12:52.404299,2017-04-24 01:12:52.404299,13681
169,1,778,2017-04-24 01:18:03.390674,2017-04-24 01:18:03.390674,13791
170,1,130,2017-04-24 01:26:19.615462,2017-04-24 01:26:19.615462,13736
